ImageName,BottomHeightY,TopHeightY,ContaminationHeight
HEX481_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HEX481_S_PLC_SPC_Upload_Clear_01.png,683,747,64
HEX485_S_PLC_SPC_Full_Upload_Clear_01.png,671,723,52
HEX485_S_PLC_SPC_Upload_Clear_01.png,637,704,67
HEX496_S_PLC_SPC_Full_Upload_Clear_01.png,592,664,72
HEX496_S_PLC_SPC_Upload_Clear_01.png,663,723,60
HEX502_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HEX502_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HEX502_S_PLC_SPC_Upload_Clear_01.png,532,640,108
HEX502_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HEX505_S_PLC_SPC_Full_Upload_Clear_01.png,506,613,107
HEX505_S_PLC_SPC_Full_Upload_Clear_03.png,508,539,31
HEX505_S_PLC_SPC_Upload_Clear_01.png,643,764,121
HEX506_S_PLC_SPC_Full_Upload_Clear_01.png,708,764,56
HEX506_S_PLC_SPC_Full_Upload_Clear_02.png,651,697,46
HEX506_S_PLC_SPC_Full_Upload_Clear_03.png,0,0,0
HEX506_S_PLC_SPC_Upload_Clear_01.png,640,732,92
HEX507_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HEX507_S_PLC_SPC_Upload_Clear_01.png,631,685,54
HPX41v_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HPX43_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HPX44_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HPX44_S_PLC_SPC_Upload_Clear_01.png,617,691,74
HUX204_S_PLC_SPC_Full_Upload_Clear_01.png,607,636,29
HUX204_S_PLC_SPC_Upload_Clear_01.png,602,641,39
HUX204_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HUX205_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HUX206_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HUX206_S_PLC_SPC_Upload_Clear_01.png,568,692,124
HUX208_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HUX208_S_PLC_SPC_Upload_Clear_01.png,330,358,28
HUX209_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HUX209_S_PLC_SPC_Full_Upload_Clear_02.png,682,711,29
HUX209_S_PLC_SPC_Upload_Clear_01.png,576,686,110
HUX210_S_PLC_SPC_Full_Upload_Clear_01.png,678,717,39
HUX210_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HUX210_S_PLC_SPC_Upload_Clear_01.png,619,739,120
HUX210_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HUX211_S_PLC_SPC_Full_Upload_Clear_01.png,663,687,24
HUX211_S_PLC_SPC_Upload_Clear_01.png,666,684,18
HUX212_S_PLC_SPC_Full_Upload_Clear_01.png,359,373,14
HUX212_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HUX212_S_PLC_SPC_Upload_Clear_01.png,339,362,23
HUX212_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HUX213_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HUX213_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HUX213_S_PLC_SPC_Upload_Clear_01.png,603,687,84
HUX213_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HUX215_S_PLC_SPC_Full_Upload_Clear_01.png,0,0,0
HUX215_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HUX215_S_PLC_SPC_Upload_Clear_01.png,643,707,64
HUX215_S_PLC_SPC_Upload_Clear_02.png,0,0,0
HVX270_S_PLC_SPC_Full_Upload_Clear_01.png,694,739,45
HVX270_S_PLC_SPC_Full_Upload_Clear_02.png,0,0,0
HVX270_S_PLC_SPC_Upload_Clear_01.png,674,732,58
